,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320194 (Baseline).mp3,-299.72786149799964,50.202578134879786,-0.5515759739854055,9.515078658227353,-14.825610218953761,0.8488458909402129,-28.262238971954233,13.133903524922573,-18.456101654064756,11.574169222481592,-7.447403825844584,-0.6804523013861551,-12.848480621921377
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320219 (Baseline).mp3,-307.3580106527402,127.18244339877273,-61.50858509976609,-14.801029032342013,-23.683310041955018,-8.305888920282486,-16.659225923160857,-7.868482658121997,-6.936412128558073,19.337639918494776,-13.47730757036795,-7.600438896505461,-6.16417461121901
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320116 (Month 20).mp3,-359.19603311543494,89.42767500120421,11.509732135620196,-10.328518054382846,-9.914066110213028,1.2694467925538517,0.07933231492229426,-2.3260945976621077,-10.656392607301996,0.38282339514782093,17.620717558509927,-1.8333436895150763,-13.524149939359347
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320122 (Month 16).mp3,-328.55622799036234,105.86658563045036,-11.543105119378591,-4.718810687678695,8.941105537849547,19.751671861999583,-15.701136500621443,-8.236580984468036,-3.9324576572665366,4.636935751257573,-8.737958312516101,-11.227836497834447,-5.886919663516133
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330052 (Contact 22).mp3,-476.83909111665446,110.02404412792349,-29.293941086481354,3.4571603319990993,-4.374702507494782,-24.257216197812568,-7.436545314801368,-14.541761976448312,-7.45475631068519,1.5821388052902219,-3.1792792886159327,4.030100394413685,0.9648849498609716
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330048 (Contact 9).mp3,-593.3451729307353,99.33770284361896,-51.6055461068967,1.8103052483341262,15.269384097386999,-10.82672286962611,-4.536481637060437,-9.367652741100189,-0.8077036095929702,2.4326608732951076,-7.5679556111825494,3.7144004900729644,1.4973162331218803
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330010 (Contact 14).mp3,-524.5690351954786,118.08543315445883,-51.14219267946474,-14.629625114209485,-3.7192678818236016,-11.131079098541887,1.4021026389968196,-11.707484418157119,-3.11638856664336,-3.2488523048452818,-10.309521240716286,10.337496477052728,3.053493437776941
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320169 (Month 4).mp3,-193.42450331371433,123.19663042401365,-36.99256381466577,-0.8174427649963899,-16.084655801134687,2.2838822475145575,-17.528333522819025,-4.973978821832384,-0.01595656291345565,-4.174623927487084,-10.817172421393753,-4.8912483519396845,-0.8562856132754773
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330019 (Contact 3).mp3,-544.8597868941994,86.99926777407465,-17.62878055178385,12.620744915293061,-3.536165504777245,-15.899734966061018,-0.014103179592300065,-9.958125016417366,0.21851868513889913,2.270281733789334,-6.12467606910011,6.239331722838318,-0.6140095920786238
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330264 (Contact 6).mp3,-539.0907432698602,56.37879897234132,-5.782800213452798,18.077076199994348,1.9186541049917982,-12.211011662818763,2.8060264405278064,-3.9602036057910355,-3.1295174509928376,-0.4473492620100475,-8.544329783766928,-2.751261906853022,-3.8556691407399746
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330053 (Contact 11).mp3,-547.1533366094519,84.9090737051043,-35.14402748294139,-6.0939389422987205,0.08602067752810824,-9.422019895853474,-7.169844032054505,-13.338452967540302,4.647799587056703,-0.8954953395263372,-16.38298072950364,4.470823554658193,3.4929882730431125
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330017 (Contact 2).mp3,-399.6647575054355,133.47187661604048,-89.68748933058549,18.802317252591333,-8.78530465448605,-39.86130475422213,7.849713939510048,-18.308864719637327,-1.92677725280576,8.466390257995133,-18.95548766904073,1.6982824905930254,-3.272386628032247
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330035 (Contact 22).mp3,-467.9746138847642,113.60465659562716,-41.06803865863289,-32.50783189732795,-15.316394989722891,-18.7632266272863,-6.1648408517234214,-11.855453281493896,-12.434672737717634,-0.8379592514057195,2.079019720535511,2.370676304349004,-0.496438104323941
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320190 (Contact 28).mp3,-556.4720208611963,116.09340352654932,14.818911540962704,13.213962493661649,3.5357432818387644,-12.43385980215845,-10.275429134608522,-15.17606990125303,-4.124854033817035,1.852062721529148,-13.093257420582928,-10.036813364385587,-2.7933739982567185
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330250 (Contact 13).mp3,-568.2824121248582,139.63679645035737,-11.819544421713154,-1.0330300264940144,-15.915063797598302,-21.680330977975963,0.057014915223096964,-10.851206546618826,-2.7974355460598854,0.039017784154047656,-10.24072172811497,-0.10041572910995597,-5.642312620590995
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320121 (Month 16).mp3,-378.8813684107056,100.48611743802101,-17.56148894268946,16.43974231704346,-23.02157196602313,-11.529263876726452,-15.972311363990158,-5.975241008345813,-8.733824987241922,-1.4036588586183816,-7.1820519337993325,-1.1252408691761686,-2.4156853086075984
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330210 (Contact 22).mp3,-372.7987340743554,167.55989387028956,-72.77220482371371,-3.0472264594632077,0.7645236714488257,-42.932624763184016,-17.6506669071149,-7.019894066470335,5.571621704044406,-5.626540130749839,-20.773605999521095,2.597822784056171,-7.45618294557579
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330227 (Contact 9).mp3,-570.3489354258675,85.32069675059225,-75.25884502775786,-19.945768241513072,5.192305358054763,-12.89267284991121,-6.364276905851021,-10.841275459173046,3.801079651700476,10.313568797395504,-6.283926555288725,-2.6844255805710566,0.337990797712511
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320159 (Baseline).mp3,-226.1942221268584,31.807556064559048,0.09912166044029827,8.699889889493571,0.43565923426405023,-32.389774859631046,-21.00213828217724,-10.388512284743115,-2.5114205766859636,-15.741019175202146,-18.43746506215121,3.891761047742025,-5.4627191868797595
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320218 (Baseline).mp3,-270.0571486232655,114.59427600251817,-25.7389284522244,-52.44406101073613,17.7097788614747,-36.52443969143674,-6.501805926127311,-8.090913092469638,-14.404266883051081,-16.607219313288514,-26.456202404507106,12.159919712815528,-22.89809567245953
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330032 (Contact 27).mp3,-447.64728810186915,90.88760003164634,-30.4818767081987,-14.262183095010995,0.370367261841284,-6.435289187159213,-9.540305265098695,-19.421177950688136,-5.035776579240843,1.4075890149632144,-12.03010330070823,-4.488345891585452,3.5837569768538544
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320168 (Contact 11).mp3,-565.6694288059268,123.72786993665109,-43.81375898341886,9.362436244415955,-9.25716381168388,-27.34447163327534,3.794948434075597,-10.748457104639481,-4.958542331179534,-2.841075395729946,-12.990469672863181,2.4236973228851517,-6.6507423838100515
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320160 (Baseline).mp3,-261.0770224758987,60.37011474119197,-10.71676899173851,14.281386178974154,-6.408356955482026,6.018981318476817,-20.590903021378704,-8.444642665700352,-5.214759627886039,2.2043197612492555,-20.048161560375693,4.260990614167517,-13.182064169251518
